,version,image_path,height,width
67,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0469_EDITADO_frame300_png_Sterculia_3.png,672,809
68,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0469_EDITADO_frame300_png_Sterculia_5.png,959,1005
69,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0469_EDITADO_frame300_png_Sterculia_6.png,1046,1537
70,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0469_EDITADO_frame400_png_Angico_1.png,575,527
71,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0469_EDITADO_frame400_png_Angico_2.png,931,1108
72,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0469_EDITADO_frame400_png_Angico_4.png,1230,1791
73,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0469_EDITADO_frame400_png_Angico_6.png,1559,1485
74,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0469_EDITADO_frame400_png_Cedrela_fissilis_8.png,954,1044
75,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0469_EDITADO_frame400_png_Sterculia_3.png,984,1255
76,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0469_EDITADO_frame400_png_Sterculia_5.png,926,895
77,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0469_EDITADO_frame400_png_Sterculia_7.png,1430,894
78,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame1100_png_Angico_1.png,1737,1393
79,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame1100_png_Angico_2.png,1342,2417
80,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame1100_png_Angico_3.png,885,929
81,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame1100_png_Angico_6.png,1001,745
82,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame1100_png_Angico_7.png,507,764
83,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame1100_png_Apeiba_tibourbou_5.png,799,835
84,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame1100_png_Ceiba_speciosa_4.png,748,1514
85,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame1300_png_Angico_1.png,585,993
86,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame1300_png_Angico_2.png,2159,1682
87,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame1300_png_Angico_3.png,1018,1066
88,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame1300_png_Ceiba_speciosa_4.png,685,1521
89,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame1300_png_Ceiba_speciosa_5.png,1304,1834
90,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame1300_png_Ceiba_speciosa_6.png,906,606
91,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame1500_png_Angico_2.png,1357,1889
92,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame1500_png_Tapirira_guianensis_1.png,214,476
93,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame1600_png_Angico_4.png,549,1491
94,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame1600_png_Angico_5.png,1832,2343
95,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame1600_png_Angico_6.png,776,1762
96,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame1600_png_Apeiba_tibourbou_3.png,873,649
97,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame1600_png_Ceiba_speciosa_1.png,1289,774
98,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame1600_png_Ceiba_speciosa_2.png,1529,1136
99,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame2000_png_Angico_2.png,1502,2558
100,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame2000_png_Ceiba_speciosa_3.png,1442,1190
101,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame2000_png_Tapirira_guianensis_1.png,1845,2217
102,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame200_png_Apeiba_tibourbou_4.png,280,241
103,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame200_png_Cedrela_fissilis_2.png,163,466
104,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame200_png_Ceiba_speciosa_3.png,2151,1677
105,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame200_png_Tapirira_guianensis_1.png,2154,2350
106,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame2100_png_Angico_2.png,435,1527
107,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame2100_png_Apeiba_tibourbou_1.png,114,111
108,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame2100_png_Apeiba_tibourbou_6.png,676,1444
109,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame2100_png_Apeiba_tibourbou_7.png,658,295
110,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame2100_png_Apeiba_tibourbou_8.png,298,364
111,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame2100_png_Ceiba_speciosa_3.png,596,1099
112,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame2100_png_Ceiba_speciosa_4.png,1645,806
113,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame2100_png_Tapirira_guianensis_5.png,486,801
114,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame2100_png_Tapirira_guianensis_9.png,2134,2127
115,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame2200_png_Apeiba_tibourbou_2.png,170,151
116,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame2200_png_Apeiba_tibourbou_3.png,1460,1673
117,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame2200_png_Apeiba_tibourbou_4.png,297,337
118,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame2200_png_Ceiba_speciosa_7.png,1247,661
119,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame2200_png_Tapirira_guianensis_1.png,1199,1802
120,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame2200_png_Tapirira_guianensis_5.png,590,580
121,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame2200_png_Tapirira_guianensis_6.png,1227,2210
122,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame2300_png_Apeiba_tibourbou_1.png,1370,1232
123,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame2300_png_Apeiba_tibourbou_5.png,586,1775
124,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame2300_png_Tapirira_guianensis_2.png,591,526
125,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame2300_png_Tapirira_guianensis_3.png,1971,2606
126,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame2300_png_Tapirira_guianensis_4.png,1162,1047
127,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame2400_png_Apeiba_tibourbou_1.png,1150,1247
128,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame2400_png_Ceiba_speciosa_4.png,1394,676
129,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame2400_png_Tapirira_guianensis_2.png,2159,2583
130,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame2400_png_Tapirira_guianensis_3.png,1003,1274
131,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame2500_png_Cedrela_fissilis_3.png,719,918
132,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame2500_png_Ceiba_speciosa_1.png,1868,725
133,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame2500_png_Ceiba_speciosa_2.png,1127,876
134,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame2500_png_Sterculia_6.png,698,982
135,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame2500_png_Tapirira_guianensis_4.png,1730,2027
136,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame2500_png_Tapirira_guianensis_5.png,1187,1289
137,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame400_png_Apeiba_tibourbou_4.png,570,353
138,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame400_png_Apeiba_tibourbou_5.png,346,275
139,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame400_png_Apeiba_tibourbou_6.png,264,432
140,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame400_png_Ceiba_speciosa_1.png,1267,1084
141,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame400_png_Ceiba_speciosa_2.png,661,1192
142,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame400_png_Tapirira_guianensis_3.png,2159,2767
143,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame400_png_Tapirira_guianensis_7.png,679,295
144,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame400_png_Tapirira_guianensis_8.png,508,482
145,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame500_png_Apeiba_tibourbou_4.png,623,1148
146,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame500_png_Apeiba_tibourbou_5.png,432,318
147,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame500_png_Ceiba_speciosa_1.png,1325,1019
148,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame500_png_Ceiba_speciosa_2.png,860,1003
149,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame500_png_Tapirira_guianensis_3.png,658,729
150,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame500_png_Tapirira_guianensis_6.png,2073,2611
151,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame600_png_Angico_8.png,766,426
152,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame600_png_Apeiba_tibourbou_4.png,1174,1251
153,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame600_png_Apeiba_tibourbou_6.png,206,260
154,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame600_png_Apeiba_tibourbou_7.png,176,191
155,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame600_png_Ceiba_speciosa_1.png,1577,1321
156,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame600_png_Tapirira_guianensis_2.png,1288,1986
157,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame600_png_Tapirira_guianensis_3.png,687,762
158,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0470_EDITADO_frame600_png_Tapirira_guianensis_5.png,1572,955
159,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0479_EDITADO_frame1000_png_Angico_3.png,2152,2534
160,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0479_EDITADO_frame1000_png_Hymenaea_courbaril_1.png,695,832
161,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0479_EDITADO_frame1000_png_Hymenaea_courbaril_2.png,1029,1990
162,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0479_EDITADO_frame3100_png_Ceiba_speciosa_1.png,1300,1376
163,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0479_EDITADO_frame3100_png_Mangifera_indica_2.png,782,1054
164,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0480_BARU_EDITADO_frame0_png_Dipteryx_alata_1.png,1809,2982
165,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0480_BARU_EDITADO_frame110_png_Dipteryx_alata_1.png,1830,3346
166,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0480_BARU_EDITADO_frame180_png_Dipteryx_alata_1.png,1459,1474
167,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0480_BARU_EDITADO_frame180_png_Dipteryx_alata_2.png,2090,2027
168,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0481_EDITADO_frame100_png_Angico_1.png,720,1542
169,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0481_EDITADO_frame100_png_Dipteryx_alata_2.png,759,907
170,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0481_EDITADO_frame100_png_Dipteryx_alata_3.png,1420,1419
171,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0483_EDITADO_frame1100_png_Angico_1.png,2154,3348
172,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0483_EDITADO_frame1100_png_Mauritia_flexuosa_2.png,1475,496
173,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0483_EDITADO_frame1200_png_Angico_2.png,184,246
174,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0483_EDITADO_frame1200_png_Angico_3.png,2159,3496
175,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0483_EDITADO_frame1200_png_Mauritia_flexuosa_1.png,2141,922
176,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0483_EDITADO_frame900_png_Angico_1.png,2154,2842
177,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0483_EDITADO_frame900_png_Angico_2.png,373,842
178,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0483_EDITADO_frame900_png_Angico_3.png,184,395
179,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0483_EDITADO_frame900_png_Mauritia_flexuosa_4.png,1056,286
180,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0483_EDITADO_frame900_png_Mauritia_flexuosa_5.png,787,324
181,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0988_oiti_EDITADO_frame0_png_Licania_tomentosa_1.png,1944,1887
182,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0988_oiti_EDITADO_frame0_png_Licania_tomentosa_2.png,1178,321
183,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\0.png,161,165
184,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1.png,286,92
185,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\10.png,104,114
186,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\100.png,538,268
187,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1000.png,570,804
188,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1001.png,834,870
189,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1002.png,363,445
190,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1003.png,345,210
191,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1004.png,667,741
192,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1005.png,401,141
193,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1006.png,1020,970
194,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1007.png,150,364
195,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1008.png,202,282
196,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1009.png,461,130
197,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\101.png,202,466
198,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1010.png,495,676
199,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1011.png,109,93
200,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1012.png,586,236
201,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1013.png,659,498
202,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1014.png,192,226
203,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1015.png,432,121
204,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1016.png,52,106
205,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1017.png,1016,646
206,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1018.png,294,187
207,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1019.png,537,579
208,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\102.png,389,171
209,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1020.png,154,102
210,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1021.png,364,142
211,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1022.png,176,106
212,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1023.png,774,398
213,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1024.png,27,33
214,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1025.png,119,60
215,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1026.png,723,609
216,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1027.png,230,197
217,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1028.png,132,138
218,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1029.png,95,116
219,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\103.png,662,653
220,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1030.png,99,142
221,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1031.png,281,203
222,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1032.png,453,506
223,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1033.png,87,171
224,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1034.png,120,59
225,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1035.png,119,139
226,_separated2,../data/Cerrado_trees.v1i.coco/_separated2\1036.png,366,279
